ano,trimestre,categoria,tipo,instituicao,indice,reclamacoes_procedentes,reclamacoes_total,total_clientes
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TOPÁZIO S.A.,,0.0,2.0,21801.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TOYOTA DO BRASIL S.A.,,8.0,56.0,175692.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TRIANGULO S.A.,,7.0,32.0,1968256.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TRICURY S.A.,,0.0,1.0,676.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BANCOOB (conglomerado),,8.0,40.0,3886472.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BANESTES (conglomerado),,10.0,38.0,1303144.0
2020,2º,Mais de quatro milhões de clientes,Conglomerado,BANRISUL (conglomerado),19.83,100.0,645.0,5042321.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BARIGUI (conglomerado),,7.0,19.0,27474.0
2020,2º,Mais de quatro milhões de clientes,Conglomerado,BB (conglomerado),22.76,1527.0,8522.0,67076893.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BBVA BRASIL BANCO DE INVESTIMENTO S.A.,,0.0,2.0,0.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,1.0,44089.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,"BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",,0.0,3.0,10899.0
2020,2º,Mais de quatro milhões de clientes,Conglomerado,BMG (conglomerado),99.8,520.0,1543.0,5210230.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BMW (conglomerado),,1.0,6.0,24426.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BNP PARIBAS (conglomerado),268.59,719.0,1267.0,2676922.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BOFA MERRILL LYNCH (conglomerado),,1.0,1.0,1604.0
2020,2º,Mais de quatro milhões de clientes,Conglomerado,BRADESCO (conglomerado),24.35,2408.0,11450.0,98855959.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BRB (conglomerado),69.12,64.0,393.0,925870.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,BTG PACTUAL (conglomerado),,8.0,26.0,424827.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,C6 BANK (conglomerado),64.37,118.0,347.0,1833081.0
2020,2º,Mais de quatro milhões de clientes,Conglomerado,CAIXA ECONÔMICA FEDERAL (conglomerado),26.45,3053.0,23610.0,115407209.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,2.0,7.0,63739.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,CCB (conglomerado),,6.0,130.0,253956.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,CITIBANK (conglomerado),,0.0,5.0,19435.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,CREFISA (conglomerado),17.3,31.0,248.0,1791322.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,DAYCOVAL (conglomerado),41.06,50.0,654.0,1217663.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,559.96,54.0,302.0,96434.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,FATOR (conglomerado),,0.0,1.0,16675.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,6.0,97339.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,GM (conglomerado),72.55,24.0,210.0,330771.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,GRUPO BONSUCESSO - BS2 (conglomerado),44.63,20.0,75.0,448029.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,GRUPO ZEMA (conglomerado),,0.0,2.0,410773.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,HERVAL - HS (conglomerado),,6.0,10.0,197488.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,HONDA (conglomerado),,7.0,58.0,478950.0
