ano,trimestre,instituicao,irregularidade,reclamacoes_procedentes,reclamacoes_total
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,"Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário",0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Venda casada,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Cartões de débito,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Cobrança irregular de tarifa pela prestação de serviços essenciais à pessoa natural,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Cobranças diversas em operação de crédito consignado,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Descumprimento de ordem judicial,0.0,2.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Descumprimento de prazo de resposta da reclamação registrada no BCB,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Débito em conta de depósito não autorizado pelo cliente,0.0,5.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento,0.0,2.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Insatisfação com o atendimento prestado por agências,0.0,2.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Irregularidades envolvendo a abertura de conta-salário,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Irregularidades relacionadas ao acompanhamento de conta,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado,1.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito (pessoa natural) - exceto crédito consignado e financiamento imobiliário,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural),0.0,2.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em ATM",1.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATMe serviços",2.0,3.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada,2.0,2.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Outras irregularidades relacionadas a tarifas,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Outros assuntos não regulados relacionados a cartão de crédito,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Prestação de serviço de forma irregular em conta-salário,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Recusa de cancelamento de pacote de serviços,1.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Recusa de produtos ou serviços,0.0,1.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Renegociação de dívida (exceto cartão de crédito),0.0,9.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Renegociação de dívidas/encargos relacionadas a cartão de crédito,0.0,3.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Restrições cadastrais,0.0,3.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Tempo de espera em fila,0.0,3.0
2017,2º,BANCO DO ESTADO DO PARÁ S.A.,Terminais eletrônicos e internet,0.0,2.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Bloqueio de conta,0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Cobrança irregular de tarifa por serviços não contratados,0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Descumprimento contratual,0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Descumprimento de prazo de resposta da reclamação registrada no BCB,0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,0.0,2.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Insatisfação com o atendimento prestado por agências,0.0,11.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Irregularidades no processo de encerramento de conta de depósitos à vista,0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Irregularidades relacionadas a cédulas ou moedas,0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito (pessoa natural) - exceto crédito consignado e financiamento imobiliário,0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,"Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada",0.0,1.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,Irregularidades relacionadas à devolução de cheques,0.0,2.0
2017,2º,BANCO DO NORDESTE DO BRASIL S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em internet banking",0.0,1.0
